index_id,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,country,day_of_week
3338,63.74053851,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,2,20,1,4.560296042,0.84167771,37.27147552,1.404304906,56.16016491,0.838692504,23.74031,38.01645,,
3339,85.76851874,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,8,87,1,3.094531745,0.964124151,61.35649887,2.311774116,91.55820928,1.367324756,23.70979,37.9947,,
3340,118.1074684,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,89,1,5.258812406,0.197404651,32.64203196,1.229877942,48.7983513,0.728751625,23.73803,38.02288,,
3341,104.2813957,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,7,60,1,2.83510842,0.501494823,56.11111982,2.114140096,82.86795211,1.237544982,23.762,37.99,,
3342,220.2798022,Entire home/apt,FALSE,FALSE,6,FALSE,0,0,9,94,2,3.476874821,0.227980995,46.49532493,1.751838692,70.32630553,1.050248791,23.76658,37.99483,,
3343,150.6807583,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,91,0,2.295567736,0.187990785,81.35829816,3.065396679,126.6630909,1.891578934,23.71869,37.99146,,
3344,96.0794882,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,100,1,2.621893364,0.335416021,59.88285065,2.256250384,95.1439208,1.420873555,23.759,37.99,,
3345,180.9106461,Entire home/apt,FALSE,FALSE,3,TRUE,1,0,10,98,1,3.313347459,0.340278881,48.41562271,1.824191169,76.017054,1.135234084,23.764,37.995,,
3346,156.3049235,Entire home/apt,FALSE,FALSE,6,TRUE,0,0,10,100,2,2.639639981,0.609145505,85.10384031,3.206520236,127.4546281,1.903399703,23.70536,37.9759,,
3347,92.79872519,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,2,20,2,2.937918088,0.758371454,57.87210065,2.180489872,85.49399091,1.276762086,23.73372,38.00199,,
3348,405.6429124,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,1.351672806,0.452932397,104.2896812,3.929399331,144.4936632,2.157859622,23.75,37.97176,,
3349,107.796499,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,98,1,2.082782069,0.386027316,125.3543311,4.7230677,175.5700863,2.621953044,23.71349,37.9684,,
3350,111.3116022,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,100,1,4.459046223,0.464743739,38.55786307,1.45277308,56.96499851,0.85071184,23.73304,38.01568,,
3351,180.9106461,Entire home/apt,FALSE,FALSE,5,FALSE,0,0,10,100,2,5.286548498,0.147878868,31.279209,1.178529855,43.85802953,0.654973159,23.78602,38.00128,,
3352,131.2305205,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,96,1,2.411269983,0.439709054,72.42035239,2.728635096,105.734022,1.579025486,23.731,37.997,,
3353,136.8546856,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,95,2,2.933479139,0.423533634,54.16826213,2.040937613,80.77584613,1.206301598,23.76225,37.99125,,
